iso3,year,agriculture_gdp_pct,basic_sanitation_access,basic_water_access,births_attended_skilled,death_rate,electricity_access_pct,exports_pct_gdp,fertility_rate,food_production_index,gdp_growth,gdp_per_capita_ppp,gini_index,health_expenditure_pct_gdp,health_expenditure_per_capita,infant_mortality,internet_users_pct,life_expectancy_total,literacy_rate,nurses_midwives_per_1000,oop_health_expenditure_pct,physicians_per_1000,pm25_exposure,population,population_65_plus,population_density,tax_revenue_pct_gdp,unemployment_pct,urban_population_pct
PYF,2010,2.26967001717539,97.6643134674784,100.0,,2.947,100.0,16.3781286675659,2.165,97.2,-2.4660641898174,,,,,,49.0,81.141,,,,,,270580.0,6.21294995934659,77.9544799769519,,12.133,60.7610223950988
PYF,2011,2.4923805279951,97.6532831875921,100.0,,2.957,100.0,18.2322072872423,2.061,98.14,-2.96195745427229,,,,,,49.0,81.434,,,,,,271727.0,6.41342229517126,78.2849322961683,,12.257,61.2717342597741
PYF,2012,2.63770555361179,97.6422529077059,100.0,,2.972,100.0,19.2775482028539,2.026,99.24,-0.927537712532072,,,,,,52.8766305867993,81.695,,,,,,273084.0,6.61226328210968,78.675885911841,,12.134,61.5286539604592
PYF,2013,3.02217318220315,97.6312226278196,100.0,,2.996,100.0,18.5160924863597,1.937,93.91,0.398801414346934,,,,,,56.8,81.935,,,,,,274728.0,6.83040467372214,79.1495246326707,,12.027,61.6130486661995
PYF,2014,3.17771114316168,97.6201923479333,100.0,,3.059,100.0,19.704885459438,1.957,95.7,0.593554452942286,,,,,,60.68,82.151,,,,,,276387.0,7.0737641897698,79.6274848746759,,11.894,61.6824807401268
PYF,2015,3.22845890100068,97.609162068047,100.0,,3.124,100.0,19.613765074754,1.872,101.52,1.80334081452726,,,,,,64.560209747212,82.339,,,,,,277866.0,7.31521668718015,80.0535868625756,,11.794,61.7374742154907
PYF,2016,3.21708081765994,97.5981317881607,100.0,,3.175,100.0,19.6126341083126,1.763,102.78,2.30219823670438,,,,,,68.440419493378,82.555,,,,,,279178.0,7.55684107780892,80.431575914722,,11.727,61.7744381369651
PYF,2017,3.0564999715999,97.5871015082744,100.0,,3.225,100.0,19.556958430367,1.669,101.87,4.29263363103487,,,,,,72.7038953132942,82.774,,,,,,280087.0,7.87488865047048,80.6934600979545,,11.595,61.7896941062846
PYF,2018,2.85240041681856,97.5760712283881,100.0,,3.292,100.0,20.9791687502218,1.645,104.04,1.80687498305207,,,,,,,82.985,,,,,,279815.0,8.30422188906619,80.6150965139729,,11.599,61.7888025236875
PYF,2019,2.25047826168236,97.5650409485018,100.0,,3.369,100.0,20.5923590296429,1.567,103.02,2.68946658143334,,,,,,,83.195,,,,,,279034.0,8.77511123216388,80.3900893114376,,11.591,61.7824142427508
PYF,2020,2.21570108763617,97.5540106686156,100.0,,3.812,100.0,9.49972847640143,1.57,102.98,-10.5738138632489,,,,,,,82.459,,,,,,279209.0,9.20636512433338,80.4405070584846,,12.963,61.7673100921
PYF,2021,,97.5429803887293,100.0,,5.245,100.0,13.443127139243,1.532,103.74,3.36590242421546,,,,,,,79.571,,,,,,279792.0,9.65288500028593,80.6084701815039,,12.558,61.7399813226008
PYF,2022,,97.531950108843,100.0,,3.529,100.0,21.8171217385989,1.515,102.81,2.9373470716322,,,,,,,83.859,,,,,,280378.0,10.1726954325946,80.7772976087583,,11.793,61.6913806937112
PYF,2023,,97.5209198289567,100.0,,3.649,100.0,24.0679217423403,1.501,,2.77284077155413,,,,,,,84.07,,,,,,281118.0,10.7255481229446,80.990492653414,,11.613,61.6967135028569
PYF,2024,,97.5098895490704,100.0,,3.808,,18.3213723539379,1.491,,1.12638897730247,,,,,,,84.192,,,,,,281807.0,11.324082304702,,,11.613,61.7191984724331
QAT,2000,0.372799554496798,99.9365492602027,99.9029247892536,100.0,1.854,100.0,67.2833585991399,3.073,74.16,8.02812545191884,93186.9710440179,,1.97258496,1784.65973852259,10.4,4.86367917875156,75.25,,,30.03434944,,88.44531877478,644989.0,1.24381966204075,55.5546080964686,,0.87,96.2942718926638
QAT,2001,0.37593984962406,99.9365492602027,99.9029247892536,100.0,1.831,100.0,65.8928571428571,3.08,56.01,3.89818666233907,92115.7349961796,,2.3197093,2078.3821881829,10.0,6.17026856093911,75.486,,4.936,27.41547394,2.217,90.0738424478758,677925.0,1.22963454659439,58.3914728682171,,0.87,96.4674307551724
QAT,2002,0.256795868565916,99.9365492602027,99.9029247892536,100.0,1.798,100.0,60.3427728278758,3.011,64.81,7.18215168021513,94111.5966588338,,2.46044064,2289.00606174772,9.7,10.2261289281118,75.766,,,27.51289368,,92.3707032121313,711205.0,1.20640321707525,61.2579672695952,,0.87,96.6424497593905
QAT,2003,0.234640393168579,99.9365492602027,99.9029247892536,100.0,1.758,100.0,61.6975823867948,2.925,58.69,3.71995867654906,93224.3623187548,,3.50257182,3322.10699473463,9.3,19.242336421002,76.097,,,18.53093338,,94.7440660994636,744682.0,1.17640818497023,64.1414298018949,,0.87,96.8311182064009
QAT,2004,0.181799293579888,99.9365492602027,99.9029247892536,100.0,1.722,100.0,64.1682249463259,2.794,60.98,19.2189153397893,107023.577147067,,3.18311739,3411.3509860001,9.0,20.701647851169,76.484,88.9599990844727,,18.55573273,,96.6020961417903,773332.0,1.15590641800261,66.6091300602929,,0.87,97.0472579559041
